,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Moses Malone,0.561,0.735,42.0,31.1,14.7,1.8,0.9,1.5,0.519,0.0,0.762,15.4
1,Larry Bird,0.768,0.588,38.0,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5
2,Julius Erving,0.7070000000000001,0.294,34.4,24.4,6.9,3.9,2.0,1.7,0.546,0.273,0.763,13.3
3,Robert Parish,0.768,0.19,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0.0,0.71,10.0
4,Gus Williams,0.634,0.16699999999999998,36.0,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.7340000000000001,10.2
5,George Gervin,0.585,0.159,35.7,32.3,5.0,2.4,1.0,0.6,0.5,0.278,0.8640000000000001,10.7
6,Sidney Moncrief,0.6709999999999999,0.146,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.8170000000000001,13.4
7,Magic Johnson,0.695,0.09699999999999999,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9
8,Jack Sikma,0.634,0.048,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6
9,Kareem Abdul-Jabbar,0.695,0.045,35.2,23.9,8.7,3.0,0.8,2.7,0.579,0.0,0.706,10.7
10,Dan Roundfield,0.512,0.02,36.3,18.6,11.8,2.7,1.0,1.5,0.466,0.2,0.76,6.5
11,Kelly Tripucka,0.47600000000000003,0.02,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.22699999999999998,0.797,7.5
12,Alex English,0.561,0.017,36.8,25.4,6.8,5.3,1.1,1.5,0.551,0.0,0.84,9.5
13,Bernard King,0.5489999999999999,0.013999999999999999,36.2,23.2,5.9,3.6,1.0,0.3,0.5660000000000001,0.2,0.705,8.7
14,Adrian Dantley,0.305,0.01,39.8,30.3,6.3,4.0,1.2,0.2,0.57,0.33299999999999996,0.792,12.6
15,Ray Williams,0.537,0.009000000000000001,33.3,20.4,4.0,6.0,2.4,0.5,0.462,0.16699999999999998,0.8320000000000001,7.9
16,Michael Cooper,0.695,0.004,28.9,11.9,3.5,3.0,1.6,0.8,0.517,0.11800000000000001,0.813,5.0
17,Dan Issel,0.561,0.004,30.5,22.9,7.5,2.2,0.8,0.7,0.527,0.667,0.8340000000000001,9.8
18,Marques Johnson,0.6709999999999999,0.004,31.7,16.5,6.1,3.6,1.0,0.6,0.532,0.0,0.7,6.2
19,Isiah Thomas,0.47600000000000003,0.004,33.8,17.0,2.9,7.8,2.1,0.2,0.424,0.28800000000000003,0.7040000000000001,2.3
20,Dennis Johnson,0.561,0.001,36.7,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.8059999999999999,8.1
21,Mychal Thompson,0.512,0.001,39.6,20.8,11.7,4.0,0.9,1.4,0.523,0.0,0.628,8.2
22,Jay Vincent,0.341,0.001,32.4,21.4,7.0,2.2,1.1,0.3,0.49700000000000005,0.25,0.716,5.6
23,Jamaal Wilkes,0.695,0.001,35.4,21.1,4.8,1.7,1.1,0.3,0.525,0.0,0.732,7.7
24,Buck Williams,0.537,0.001,34.5,15.5,12.3,1.3,1.0,1.0,0.5820000000000001,0.0,0.624,8.9
